"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"CN001";"1939561-3";1;"Conn_02x20_Odd_Even";;;
2;"JP5";"Socket_Strip_Straight_2x13_Pitch2.54mm";1;"Conn_02x13_Odd_Even";;;
3;"REF**,REF**,REF**,REF**,REF**,REF**";"MountingHole_5.3mm_M5_Pad_Via";6;"MountingHole_5.3mm_M5_Pad_Via";;;
4;"CN151";"GT8E-12DP-DS";1;"Conn_01x12";;;
5;"C1,C2";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"1uf";;;
6;"CN101";"GT8E-5P-DS";1;"Conn_01x05";;;
7;"CN501";"GT8E-16DP-DS";1;"Conn_01x16";;;
8;"CN601";"GT8E-8P-DS";1;"Conn_01x08";;;
9;"IC1";"DIP-14_W7.62mm";1;"SN74F00";;;
10;"JP3";"Socket_Strip_Straight_2x07_Pitch2.54mm";1;"Conn_02x07_Odd_Even";;;
11;"JP4";"Socket_Strip_Straight_2x08_Pitch2.54mm";1;"Conn_02x08_Odd_Even";;;
12;"R1";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"120R";;;
13;"R2,R3,R4,R5";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";4;"10k";;;
14;"R7,R8";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";2;"47k";;;
15;"R9";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"1k";;;
16;"R10";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"1k2";;;
17;"H1";"MountingHole_5.3mm_M5_Pad_Via";1;"MountingHole_Pad";;;
